epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,79.8184,0.90746,0.90011,0.88962,0.01005,1,0.82062,0.57523,1.02854,3.02351,0.93803,0.000781803,0.000781803,0.000781803
60,81.1643,0.9491,0.90246,0.91473,0.01,1,0.94583,0.60081,1.1228,2.9318,0.98889,0.000792037,0.000792037,0.000792037
61,82.5035,0.88765,0.84921,0.88023,0.01,1,0.94583,0.60081,1.1228,2.9318,0.98889,0.00080216,0.00080216,0.00080216
62,83.8843,0.92906,0.89244,0.88202,0.00999,1,0.995,0.68891,1.10207,2.66224,1.00344,0.000812174,0.000812174,0.000812174
63,85.2278,0.94221,0.80631,0.86159,0.00999,1,0.995,0.68891,1.10207,2.66224,1.00344,0.000822078,0.000822078,0.000822078
64,86.5677,0.9007,0.79352,0.87501,0.00993,1,0.995,0.66636,1.12549,2.43482,1.0384,0.000831871,0.000831871,0.000831871
65,87.9124,0.81615,0.7505,0.85921,0.00993,1,0.995,0.66636,1.12549,2.43482,1.0384,0.000841555,0.000841555,0.000841555
66,89.2553,0.82367,0.75209,0.88319,0.00992,1,0.995,0.68589,1.01158,2.30811,1.01406,0.000851129,0.000851129,0.000851129
67,90.5828,0.82181,0.7525,0.83935,0.00992,1,0.995,0.68589,1.01158,2.30811,1.01406,0.000860592,0.000860592,0.000860592
68,91.9332,0.80106,0.76168,0.85142,0.0099,1,0.995,0.74373,0.98795,2.31618,0.99637,0.000869946,0.000869946,0.000869946
69,93.243,0.85754,0.76323,0.85805,0.0099,1,0.995,0.74373,0.98795,2.31618,0.99637,0.000879189,0.000879189,0.000879189
70,94.6151,0.83514,0.72058,0.85725,0.00981,1,0.995,0.68868,1.06566,2.38362,1.01607,0.000888323,0.000888323,0.000888323
71,95.9272,0.84673,0.77217,0.8623,0.00981,1,0.995,0.68868,1.06566,2.38362,1.01607,0.000897346,0.000897346,0.000897346
72,97.2693,0.83634,0.74073,0.8502,0.00985,1,0.995,0.6935,1.09407,2.39749,1.01359,0.00090626,0.00090626,0.00090626
